id;card_number;name;expired_date;secure_number;limit_amount;created_date;created_by;last_modified_date;last_modified_by
1;55847;JBOD Producer IB;2023-05-20;94446;47602;2023-05-20T02:55:03;Concrete Czech;2023-05-20T14:29:25;Peso Factors
2;84792;transition;2023-05-20;14447;25461;2023-05-20T07:37:36;Car Berkshire clicks-and-mortar;2023-05-20T19:54:56;Exclusive Via
3;23550;Books;2023-05-20;83804;68504;2023-05-21T00:26:57;Avon;2023-05-20T08:05:27;challenge Carolina Intelligent
4;70928;Group;2023-05-20;19060;11302;2023-05-20T12:39:29;Future redundant program;2023-05-20T20:27:08;Account calculate Washington
5;9385;to magenta;2023-05-20;64690;96961;2023-05-20T01:11:36;Rustic;2023-05-20T15:44:41;wireless
6;20990;data-warehouse Hills;2023-05-20;36959;52238;2023-05-20T15:08:17;Wisconsin;2023-05-20T14:20:38;navigate driver
7;29242;Practical;2023-05-20;70502;48208;2023-05-20T04:40:50;Bedfordshire synthesize;2023-05-20T11:33:00;bypassing invoice experiences
8;44357;Reactive Idaho;2023-05-20;75040;42673;2023-05-20T09:23:42;harness;2023-05-20T20:06:33;Customer-focused payment
9;51943;Minnesota payment Chips;2023-05-20;93118;44038;2023-05-20T22:24:55;Applications migration;2023-05-20T20:20:33;ivory
10;25384;sky Computers GB;2023-05-20;93250;47455;2023-05-20T15:22:58;Walks Tunisia;2023-05-20T07:49:45;Representative
